Accession	Species	LAB_score_v1	Priority_class	Safety_score	GI_survival_score	Functional_score	Fermentation_score	Completeness	Contamination	Contigs	TotalLength
GCF_020784665.1	Limosilactobacillus reuteri	85.70329670329669	Elite	100	97.14285714285714	69.23076923076923	25.714285714285715	97.49	1.18	67	2130452
GCF_025189805.1	Limosilactobacillus reuteri	85.70172684458399	Elite	100	85.71428571428571	82.6923076923077	27.346938775510203	98.26	0.79	115	2032430
GCF_025189785.1	Limosilactobacillus reuteri	85.70172684458399	Elite	100	85.71428571428571	82.6923076923077	27.346938775510203	98.26	0.79	127	2031791
GCF_002253825.1	Limosilactobacillus reuteri	85.66091051805337	Elite	100	85.71428571428571	82.6923076923077	26.93877551020408	98.12	1.79	108	2179964
GCF_002253705.1	Limosilactobacillus reuteri	85.62009419152275	Elite	100	85.71428571428571	82.6923076923077	26.53061224489796	98.39	1.41	137	2079917
GCF_002253665.1	Limosilactobacillus reuteri	85.62009419152275	Elite	100	85.71428571428571	82.6923076923077	26.53061224489796	98.39	0.96	122	2067228
GCF_001540905.1	Levilactobacillus brevis	85.61695447409734	Elite	100	82.85714285714286	84.61538461538461	29.79591836734694	99.36	1.31	50	2439005
GCF_025194505.1	Levilactobacillus brevis	85.47409733124019	Elite	100	80.0	84.61538461538461	35.51020408163265	99.51	1.66	121	2470075
GCF_024622285.1	Limosilactobacillus reuteri	85.45682888540031	Elite	100	85.71428571428571	82.6923076923077	24.897959183673468	97.97	1.46	51	2050835
GCF_001703865.1	Limosilactobacillus reuteri	85.44270015698586	Elite	100	88.57142857142857	78.84615384615384	25.3061224489796	97.4	1.55	195	2255438
GCF_001703855.1	Limosilactobacillus reuteri	85.44270015698586	Elite	100	88.57142857142857	78.84615384615384	25.3061224489796	97.94	1.55	160	2240703
GCF_001703885.1	Limosilactobacillus reuteri	85.44270015698586	Elite	100	88.57142857142857	78.84615384615384	25.3061224489796	97.4	1.58	203	2241971
GCF_024622315.1	Limosilactobacillus reuteri	85.4160125588697	Elite	100	85.71428571428571	82.6923076923077	24.489795918367346	97.97	1.73	54	2046379
GCF_020784655.1	Limosilactobacillus reuteri	85.31868131868131	Elite	100	97.14285714285714	67.3076923076923	25.714285714285715	97.49	1.18	81	2129363
GCF_025194285.1	Levilactobacillus brevis	85.31083202511773	Elite	100	80.0	84.61538461538461	33.87755102040816	97.45	2.12	76	2530181
GCF_039839865.1	Levilactobacillus brevis	85.29670329670331	Elite	100	82.85714285714286	80.76923076923077	34.285714285714285	98.77	4.97	171	2583913
GCF_039839695.1	Levilactobacillus brevis	85.29670329670331	Elite	100	82.85714285714286	80.76923076923077	34.285714285714285	98.67	4.46	157	2536054
GCF_020784725.1	Limosilactobacillus reuteri	85.29513343799057	Elite	100	97.14285714285714	69.23076923076923	21.632653061224488	97.56	0.88	47	2013591
GCF_020784695.1	Limosilactobacillus reuteri	85.29513343799057	Elite	100	97.14285714285714	69.23076923076923	21.632653061224488	97.56	0.88	48	2014409
GCF_004684995.1	Limosilactobacillus reuteri	85.26216640502355	Elite	100	88.57142857142857	76.92307692307692	27.346938775510203	98.1	3.98	67	2290627
GCF_020785145.1	Limosilactobacillus reuteri	85.18367346938776	Elite	100	91.42857142857144	75.0	23.26530612244898	98.64	2.87	132	2299377
GCF_009733655.1	Limosilactobacillus reuteri	85.18053375196232	Elite	100	88.57142857142857	76.92307692307692	26.53061224489796	97.94	4.46	106	2281145
GCF_009733645.1	Limosilactobacillus reuteri	85.18053375196232	Elite	100	88.57142857142857	76.92307692307692	26.53061224489796	98.07	4.46	124	2260332
GCF_009733615.2	Limosilactobacillus reuteri	85.18053375196232	Elite	100	88.57142857142857	76.92307692307692	26.53061224489796	98.07	4.46	112	2282869
GCF_030361165.1	Levilactobacillus brevis	85.17111459968604	Elite	100	80.0	82.6923076923077	36.326530612244895	99.0	1.85	53	2449128
GCF_030361325.1	Levilactobacillus brevis	85.17111459968604	Elite	100	80.0	82.6923076923077	36.326530612244895	99.0	1.85	52	2448966
GCF_009649545.1	Limosilactobacillus reuteri	85.11616954474097	Elite	100	88.57142857142857	78.84615384615384	22.040816326530614	98.58	1.18	58	2119233
GCF_022511545.1	Limosilactobacillus reuteri	85.07535321821037	Elite	100	88.57142857142857	78.84615384615384	21.632653061224488	98.45	1.1	56	2090281
GCF_002093065.1	Levilactobacillus brevis	85.0596546310832	Elite	100	74.28571428571429	88.46153846153847	37.95918367346939	98.46	3.63	22	2644941
GCF_025194515.1	Levilactobacillus brevis	85.04238618524333	Elite	100	80.0	86.53846153846153	27.346938775510203	99.01	3.05	135	2500357
GCF_003813165.1	Levilactobacillus brevis	84.9811616954474	High	100	77.14285714285714	86.53846153846153	33.87755102040816	98.46	3.45	3	2529623
GCF_002138395.1	Levilactobacillus brevis	84.9497645211931	High	100	80.0	80.76923076923077	37.95918367346939	99.01	2.8	4	2477732
GCF_020784465.1	Limosilactobacillus reuteri	84.8806907378336	High	100	91.42857142857144	73.07692307692308	24.081632653061224	97.56	1.83	121	2329924
GCF_020784375.1	Limosilactobacillus reuteri	84.8806907378336	High	100	91.42857142857144	73.07692307692308	24.081632653061224	97.56	1.83	129	2336059
GCF_020785325.1	Limosilactobacillus reuteri	84.850863422292	High	100	85.71428571428571	78.84615384615384	26.53061224489796	98.64	4.24	85	2158995
GCF_020785135.1	Limosilactobacillus reuteri	84.83987441130299	High	100	91.42857142857144	73.07692307692308	23.6734693877551	98.21	3.79	80	2199526
GCF_020785475.1	Limosilactobacillus reuteri	84.81004709576139	High	100	85.71428571428571	78.84615384615384	26.12244897959184	98.64	4.24	71	2154690
GCF_020785255.1	Limosilactobacillus reuteri	84.81004709576139	High	100	85.71428571428571	78.84615384615384	26.12244897959184	98.64	4.24	85	2158974
GCF_020785355.1	Limosilactobacillus reuteri	84.81004709576139	High	100	85.71428571428571	78.84615384615384	26.12244897959184	98.64	4.24	85	2158617
GCF_051027615.1	Levilactobacillus brevis	84.78649921507065	High	100	80.0	80.76923076923077	36.326530612244895	99.43	1.31	8	2602613
GCF_965136155.1	Levilactobacillus brevis	84.78021978021978	High	100	80.0	84.61538461538461	28.571428571428573	98.13	5.0	15	2471038
GCF_009649505.1	Limosilactobacillus reuteri	84.73155416012558	High	100	88.57142857142857	76.92307692307692	22.040816326530614	97.98	3.55	62	2171732
